,imdb_id,imdb_rating,imdb_votes,title,year_of_release,genres
2431,tt0099651,6,293,Ghar Ho To Aisa,1990,Drama
2432,tt0099467,7.3,66,Drishti,1990,Drama
2433,tt0345177,8.4,1049,Ek Doctor Ki Maut,1990,Drama
2434,tt0099652,7.6,3585,Ghayal,1990,Action|Crime|Drama
2435,tt0268273,5.5,32,Dushman,1990,Action|Drama
2436,tt0242509,5.7,252,Haatim Tai,1990,Fantasy
2437,tt0395519,5.1,99,Doodh Ka Karz,1990,Action|Drama|Fantasy
2438,tt0494953,5.3,14,Gunahon Ka Devta,1990,Action
2439,tt0337650,5.8,604,Jawani Zindabad,1990,Drama|Romance
2440,tt0102148,5.4,482,Jamai Raja,1990,Drama|Romance
2441,tt0384220,5.9,13,Jai Shiv Shankar,1990,Drama
2442,tt0378156,5.1,11,Kaaranama,1990,Drama
2443,tt0359444,5.1,32,Hum Se Na Takrana,1990,Action|Crime|Drama
2444,tt0099869,5.2,157,Izzatdaar,1990,Action|Crime|Drama
2445,tt0104548,5,143,Jeevan Ek Sanghursh,1990,Drama|Family
2446,tt0360693,4.9,35,Jeene Do,1990,Action|Drama
2447,tt0100092,5.7,127,Maha-Sangram,1990,Action|Drama|Romance
2448,tt0099943,5.9,541,Kishen Kanhaiya,1990,Action|Comedy|Drama
2449,tt0361796,5.4,66,Khatarnaak,1990,Action|Crime|Drama
2450,tt0363810,4.2,33,Mera Pati Sirf Mera Hai,1990,Drama|Family
2451,tt0100384,6.8,121,Police Public,1990,Crime|Thriller
2452,tt0187338,4.3,53,Naaka Bandi,1990,Action|Crime|Drama
2453,tt0232291,4.4,34,Pati Patni Aur Tawaif,1990,Drama|Family
2454,tt0493354,6.1,36,Kafan,1990,Horror
2455,tt0099916,4.8,9,Kali Ganga,1990,Action
2456,tt0156659,6.2,96,Jurm,1990,Action|Crime|Romance
2457,tt0100401,6.1,110,Pratibandh,1990,Action|Drama
2458,tt0100539,5.6,165,Sailaab,1990,Drama|Romance
2459,tt0396768,5.4,33,Nyay Anyay,1990,Drama
